0.999998,-9.45401e-05,0.000276368,0.00182621,-8.86193e-05,-7.19628e-05,-0.00131475
0.999994,0.00180563,0.000549751,0.00291319,-0.000132518,-5.76611e-05,-0.00171635
0.99993,-0.0114956,-0.000675842,0.00277423,-0.000140372,-0.000112643,-0.00201733
0.999781,-0.0207054,-0.00212743,0.00219722,-0.000127196,-0.00016214,-0.00204064
0.999998,-9.45401e-05,0.000276368,0.00182621,-8.86193e-05,-7.19628e-05,-0.00131475
0.999994,0.00180563,0.000549751,0.00291319,-0.000132518,-5.76611e-05,-0.00171635
0.99993,-0.0114956,-0.000675842,0.00277423,-0.000140372,-0.000112643,-0.00201733
0.999781,-0.0207054,-0.00212743,0.00219722,-0.000127196,-0.00016214,-0.00204064
0.999998,-9.45401e-05,0.000276368,0.00182621,-8.86193e-05,-7.19628e-05,-0.00131475
0.999994,0.00180563,0.000549751,0.00291319,-0.000132518,-5.76611e-05,-0.00171635
0.99993,-0.0114956,-0.000675842,0.00277423,-0.000140372,-0.000112643,-0.00201733
0.999781,-0.0207054,-0.00212743,0.00219722,-0.000127196,-0.00016214,-0.00204064
1,0.000520482,-0.000224895,-1.48314e-05,-1.35508e-07,1.31819e-06,-6.0834e-07
0.999998,0.00137278,-4.15329e-05,-0.00143356,-3.64226e-06,-2.85521e-06,-4.37267e-07
0.99991,-0.0132256,-0.00127107,-0.00166558,-4.82122e-06,-1.16906e-05,1.88694e-06
0.99997,-0.00746073,-6.25572e-05,-0.0022535,-1.07958e-05,-1.31288e-05,7.35558e-06
0.999981,-0.00142942,0.00180737,-0.00568369,-1.76269e-05,-4.83175e-06,-1.55868e-05
0.999949,0.00448025,0.000425734,-0.00901941,-1.95756e-05,1.44272e-07,-1.4443e-05
0.999767,0.000455887,0.0210448,-0.00487795,-0.000143705,4.54205e-05,-3.07156e-05
0.999214,-0.00442442,0.0390221,-0.00542736,-0.000177577,6.86174e-05,-0.000128773
